round,client_id,ref_client_ids,num_refs,importance_values_for_refs
6,8,"[8, 7, 2]",3,"[1.0, 0.7394554615020752, 0.37910306453704834]"
7,1,"[1, 4, 7]",3,"[1.0, 0.2527618110179901, 0.1846017837524414]"
7,2,"[2, 7, 4]",3,"[1.0, 0.8347964882850647, 0.5802368521690369]"
7,3,"[3, 7, 4]",3,"[1.0, 0.6009910106658936, 0.3174596130847931]"
7,4,"[4, 7, 6]",3,"[1.0, 0.2882334291934967, 0.06500831991434097]"
7,5,"[5, 6, 7]",3,"[1.0, 0.5020415782928467, 0.3507729172706604]"
7,6,"[6, 7, 5]",3,"[1.0, -0.04948669299483299, -0.051482509821653366]"
7,7,"[7, 6, 4]",3,"[1.0, 0.02931174263358116, -0.05009288713335991]"
7,8,"[8, 7, 2]",3,"[1.0, 0.9834409356117249, 0.4906404912471771]"
8,1,"[1, 4, 7]",3,"[1.0, 0.441164493560791, 0.3260478377342224]"
8,2,"[2, 7, 4]",3,"[1.0, 1.0359141826629639, 0.7301950454711914]"
8,3,"[3, 7, 4]",3,"[1.0, 0.787077784538269, 0.46607184410095215]"
8,4,"[4, 7, 6]",3,"[1.0, 0.3550705909729004, 0.12978032231330872]"
8,5,"[5, 6, 7]",3,"[1.0, 0.7308588027954102, 0.5244742035865784]"
8,6,"[6, 7, 8]",3,"[1.0, -0.07605035603046417, -0.12578801810741425]"
8,7,"[7, 6, 4]",3,"[1.0, 0.1410685032606125, -0.0031854957342147827]"
8,8,"[8, 7, 2]",3,"[1.0, 1.242631435394287, 0.6135669350624084]"
9,1,"[1, 4, 7]",3,"[1.0, 0.6720277070999146, 0.48018771409988403]"
9,2,"[2, 7, 4]",3,"[1.0, 1.2421746253967285, 0.901743471622467]"
9,3,"[3, 7, 4]",3,"[1.0, 0.9835243225097656, 0.6523464918136597]"
9,4,"[4, 7, 6]",3,"[1.0, 0.41822969913482666, 0.20394691824913025]"
9,5,"[5, 6, 7]",3,"[1.0, 0.9928906559944153, 0.719546377658844]"
9,6,"[6, 7, 1]",3,"[1.0, -0.11101053655147552, -0.13635152578353882]"
9,7,"[7, 6, 4]",3,"[1.0, 0.2886865735054016, 0.07980211824178696]"
9,8,"[8, 7, 2]",3,"[1.0, 1.5197193622589111, 0.7512185573577881]"
10,1,"[1, 4, 7]",3,"[1.0, 0.9414415955543518, 0.6449514627456665]"
10,2,"[2, 7, 4]",3,"[1.0, 1.456465482711792, 1.0957142114639282]"
10,3,"[3, 7, 4]",3,"[1.0, 1.195624589920044, 0.8756615519523621]"
10,4,"[4, 7, 6]",3,"[1.0, 0.4776062071323395, 0.2926006317138672]"
10,5,"[5, 6, 7]",3,"[1.0, 1.2824711799621582, 0.9435685873031616]"
10,6,"[6, 7, 4]",3,"[1.0, -0.12928444147109985, -0.14763474464416504]"
10,7,"[7, 6, 4]",3,"[1.0, 0.463634729385376, 0.19489938020706177]"
10,8,"[8, 7, 2]",3,"[1.0, 1.816542387008667, 0.9032320380210876]"
11,1,"[1, 4, 7]",3,"[1.0, 1.2402596473693848, 0.8219525218009949]"
11,2,"[2, 7, 4]",3,"[1.0, 1.6870949268341064, 1.3099278211593628]"
11,3,"[3, 7, 4]",3,"[1.0, 1.4291564226150513, 1.1312110424041748]"
11,4,"[4, 7, 6]",3,"[1.0, 0.5368627309799194, 0.41531941294670105]"
11,5,"[5, 6, 7]",3,"[1.0, 1.6014034748077393, 1.195994257926941]"
11,6,"[6, 7, 2]",3,"[1.0, -0.1442168653011322, -0.16834968328475952]"
11,7,"[7, 6, 4]",3,"[1.0, 0.6673887968063354, 0.3351472020149231]"
11,8,"[8, 7, 2]",3,"[1.0, 2.1396422386169434, 1.0683224201202393]"
12,1,"[1, 4, 7]",3,"[1.0, 1.5642074346542358, 1.012562870979309]"
12,2,"[2, 7, 4]",3,"[1.0, 1.9342814683914185, 1.5477302074432373]"
12,3,"[3, 7, 4]",3,"[1.0, 1.6850218772888184, 1.4198797941207886]"
12,4,"[4, 7, 6]",3,"[1.0, 0.5924463868141174, 0.5834670066833496]"
12,5,"[5, 6, 7]",3,"[1.0, 1.9547147750854492, 1.4730541706085205]"
12,6,"[6, 7, 4]",3,"[1.0, -0.1319931596517563, -0.1870373785495758]"
12,7,"[7, 6, 4]",3,"[1.0, 0.8999807238578796, 0.5041815638542175]"
12,8,"[8, 7, 2]",3,"[1.0, 2.4920623302459717, 1.2508095502853394]"
13,1,"[1, 4, 7]",3,"[1.0, 1.917309284210205, 1.2153900861740112]"
13,2,"[2, 7, 4]",3,"[1.0, 2.196284294128418, 1.8100175857543945]"
13,3,"[3, 7, 4]",3,"[1.0, 1.966552495956421, 1.7393786907196045]"
13,4,"[4, 6, 7]",3,"[1.0, 0.7985376119613647, 0.6483743190765381]"
13,5,"[5, 6, 7]",3,"[1.0, 2.3396027088165283, 1.7743780612945557]"
13,6,"[6, 7, 4]",3,"[1.0, -0.12724612653255463, -0.1950145810842514]"
13,7,"[7, 6, 4]",3,"[1.0, 1.1597247123718262, 0.6981440186500549]"
13,8,"[8, 7, 2]",3,"[1.0, 2.880443572998047, 1.446786880493164]"
14,1,"[1, 4, 7]",3,"[1.0, 2.297991991043091, 1.4352030754089355]"
14,2,"[2, 7, 4]",3,"[1.0, 2.470174789428711, 2.100313663482666]"
14,3,"[3, 7, 4]",3,"[1.0, 2.268707752227783, 2.0949273109436035]"
14,4,"[4, 6, 7]",3,"[1.0, 1.050638198852539, 0.6944630146026611]"
14,5,"[5, 6, 7]",3,"[1.0, 2.751035213470459, 2.099663734436035]"
14,6,"[6, 7, 4]",3,"[1.0, -0.10737350583076477, -0.1658969521522522]"
14,7,"[7, 6, 4]",3,"[1.0, 1.439684271812439, 0.9282011985778809]"
14,8,"[8, 7, 2]",3,"[1.0, 3.2999324798583984, 1.6610381603240967]"
15,1,"[1, 4, 7]",3,"[1.0, 2.7161450386047363, 1.6631708145141602]"
15,2,"[2, 7, 4]",3,"[1.0, 2.7528035640716553, 2.4261791706085205]"
15,3,"[3, 7, 4]",3,"[1.0, 2.5855071544647217, 2.491107225418091]"
15,4,"[4, 6, 7]",3,"[1.0, 1.3353450298309326, 0.7277534008026123]"
15,5,"[5, 6, 7]",3,"[1.0, 3.199981689453125, 2.4321184158325195]"
15,6,"[6, 7, 4]",3,"[1.0, -0.07554791867733002, -0.09636151790618896]"
15,7,"[7, 6, 4]",3,"[1.0, 1.7487306594848633, 1.1922177076339722]"
15,8,"[8, 7, 2]",3,"[1.0, 3.752863883972168, 1.8905613422393799]"
16,1,"[1, 4, 7]",3,"[1.0, 3.172714948654175, 1.9004639387130737]"
16,2,"[2, 7, 4]",3,"[1.0, 3.042884588241577, 2.7961537837982178]"
16,3,"[3, 4, 7]",3,"[1.0, 2.925212860107422, 2.914612054824829]"
16,4,"[4, 6, 7]",3,"[1.0, 1.6544227600097656, 0.7467832565307617]"
16,5,"[5, 6, 7]",3,"[1.0, 3.6928372383117676, 2.7580509185791016]"
16,6,"[6, 4, 7]",3,"[1.0, 0.017674751579761505, -0.04098961502313614]"
16,7,"[7, 6, 4]",3,"[1.0, 2.074983835220337, 1.4948269128799438]"
16,8,"[8, 7, 2]",3,"[1.0, 4.2439188957214355, 2.1300225257873535]"
17,1,"[1, 4, 7]",3,"[1.0, 3.670539617538452, 2.1414995193481445]"
17,2,"[2, 7, 4]",3,"[1.0, 3.3297691345214844, 3.2214086055755615]"
17,3,"[3, 4, 7]",3,"[1.0, 3.4016973972320557, 3.2454020977020264]"
17,4,"[4, 6, 7]",3,"[1.0, 2.006122589111328, 0.7517904043197632]"
17,5,"[5, 6, 7]",3,"[1.0, 4.241148948669434, 3.0595366954803467]"
17,6,"[6, 4, 7]",3,"[1.0, 0.17849788069725037, -0.009209487587213516]"
17,7,"[7, 6, 4]",3,"[1.0, 2.424459934234619, 1.8326494693756104]"
17,8,"[8, 7, 2]",3,"[1.0, 4.755462646484375, 2.390427350997925]"
18,1,"[1, 4, 7]",3,"[1.0, 4.209349155426025, 2.3810081481933594]"
18,2,"[2, 4, 7]",3,"[1.0, 3.7009167671203613, 3.611689805984497]"
18,3,"[3, 4, 7]",3,"[1.0, 3.91697359085083, 3.5747525691986084]"
18,4,"[4, 6, 7]",3,"[1.0, 2.3823819160461426, 0.7445926666259766]"
18,5,"[5, 6, 7]",3,"[1.0, 4.8358540534973145, 3.3401148319244385]"
18,6,"[6, 4, 7]",3,"[1.0, 0.3933301568031311, 0.02978779375553131]"
18,7,"[7, 6, 4]",3,"[1.0, 2.785123109817505, 2.2103796005249023]"
18,8,"[8, 7, 2]",3,"[1.0, 5.287081241607666, 2.6657488346099854]"
