round,client_id,client_name,ref_client_ids,aggregation_client_ids,num_refs,importance_values_for_refs
2,6,client_6,"[6, 8, 4, 2, 9]","[6, 8, 4, 2, 9]",5,"[1.0, -0.005137814674526453, -0.009270338341593742, -0.013240139000117779, -0.013895559124648571]"
2,7,client_7,"[7, 4, 3, 9, 1]","[7, 4, 3, 9, 1]",5,"[1.0, 0.025359028950333595, 0.020343560725450516, 0.019875407218933105, 0.016184968873858452]"
2,8,client_8,"[8, 4, 3, 6, 1]","[8, 4, 3, 6, 1]",5,"[1.0, 0.01615888997912407, 0.010574552230536938, 0.0035837157629430294, -0.001345133758150041]"
2,9,client_9,"[9, 4, 6, 3, 1]","[9, 4, 6, 3, 1]",5,"[1.0, 0.018763873726129532, 0.007119403686374426, 0.0070190103724598885, -0.0008876413339748979]"
3,1,client_1,"[1, 4, 3, 8, 6]","[1, 4, 3, 8, 6]",5,"[1.0, 0.11096785217523575, 0.08909937739372253, 0.06970694661140442, 0.054099999368190765]"
3,2,client_2,"[2, 6, 4, 8, 3]","[2, 6, 4, 8, 3]",5,"[1.0, 0.06768818944692612, 0.050042055547237396, 0.04681672900915146, 0.0388265922665596]"
3,3,client_3,"[3, 1, 4, 6, 2]","[3, 1, 4, 6, 2]",5,"[1.0, 0.0024113310500979424, 0.0011229619849473238, -0.0028058334719389677, -0.0033629238605499268]"
3,4,client_4,"[4, 3, 9, 2, 7]","[4, 3, 9, 2, 7]",5,"[1.0, -0.009754016995429993, -0.01434042863547802, -0.0178021602332592, -0.017947807908058167]"
3,5,client_5,"[5, 1, 8, 6, 2]","[5, 1, 8, 6, 2]",5,"[1.0, 0.05380162596702576, 0.03199602663516998, 0.023777782917022705, 0.022494783625006676]"
3,6,client_6,"[6, 1, 5, 3, 7]","[6, 1, 5, 3, 7]",5,"[1.0, -0.01689165271818638, -0.018602317199110985, -0.022003306075930595, -0.022614527493715286]"
3,7,client_7,"[7, 4, 3, 9, 1]","[7, 4, 3, 9, 1]",5,"[1.0, 0.10106519609689713, 0.08691765367984772, 0.04638892039656639, 0.043184518814086914]"
3,8,client_8,"[8, 3, 4, 6, 1]","[8, 3, 4, 6, 1]",5,"[1.0, 0.10456018149852753, 0.0959443598985672, 0.033968131989240646, 4.315399564802647e-06]"
3,9,client_9,"[9, 4, 3, 6, 1]","[9, 4, 3, 6, 1]",5,"[1.0, 0.12101228535175323, 0.11682868748903275, 0.0592351034283638, 0.0029278709553182125]"
4,1,client_1,"[1, 3, 4, 8, 6]","[1, 3, 4, 8, 6]",5,"[1.0, 0.20676125586032867, 0.17495250701904297, 0.08788981288671494, 0.0742625892162323]"
4,2,client_2,"[2, 3, 6, 4, 8]","[2, 3, 6, 4, 8]",5,"[1.0, 0.1518402099609375, 0.11573530733585358, 0.11164171993732452, 0.06299024820327759]"
4,3,client_3,"[3, 8, 5, 9, 7]","[3, 8, 5, 9, 7]",5,"[1.0, -0.005112758371978998, -0.015249282121658325, -0.020239222794771194, -0.02156442403793335]"
4,4,client_4,"[4, 3, 5, 6, 8]","[4, 3, 5, 6, 8]",5,"[1.0, 0.03995894268155098, -0.018025679513812065, -0.0341230183839798, -0.044464439153671265]"
4,5,client_5,"[5, 1, 6, 8, 2]","[5, 1, 6, 8, 2]",5,"[1.0, 0.061743661761283875, 0.03696224093437195, 0.0338536873459816, 0.01374157052487135]"
4,6,client_6,"[6, 3, 4, 5, 8]","[6, 3, 4, 5, 8]",5,"[1.0, 0.03716326504945755, -0.027228213846683502, -0.03189907968044281, -0.037147752940654755]"
4,7,client_7,"[7, 3, 4, 9, 1]","[7, 3, 4, 9, 1]",5,"[1.0, 0.25632601976394653, 0.22975093126296997, 0.07451841980218887, 0.06758320331573486]"
4,8,client_8,"[8, 3, 4, 6, 9]","[8, 3, 4, 6, 9]",5,"[1.0, 0.2633328437805176, 0.15949392318725586, 0.0607464425265789, -0.00680021196603775]"
4,9,client_9,"[9, 3, 4, 6, 1]","[9, 3, 4, 6, 1]",5,"[1.0, 0.31533342599868774, 0.22117024660110474, 0.11700157821178436, 0.009526821784675121]"
5,1,client_1,"[1, 3, 4, 6, 8]","[1, 3, 4, 6, 8]",5,"[1.0, 0.39586877822875977, 0.246088907122612, 0.11148341745138168, 0.10814052075147629]"
5,2,client_2,"[2, 3, 4, 6, 8]","[2, 3, 4, 6, 8]",5,"[1.0, 0.3413129448890686, 0.17885321378707886, 0.16808965802192688, 0.07432708144187927]"
5,3,client_3,"[3, 4, 6, 1, 2]","[3, 4, 6, 1, 2]",5,"[1.0, -0.05674218013882637, -0.09727200865745544, -0.1077478751540184, -0.11521759629249573]"
5,4,client_4,"[4, 3, 1, 5, 6]","[4, 3, 1, 5, 6]",5,"[1.0, 0.14663320779800415, -0.05108392983675003, -0.0540476068854332, -0.05778362229466438]"
5,5,client_5,"[5, 6, 8, 1, 3]","[5, 6, 8, 1, 3]",5,"[1.0, 0.04600830748677254, 0.019334061071276665, 0.015196211636066437, 0.005348116159439087]"
5,6,client_6,"[6, 3, 4, 5, 1]","[6, 3, 4, 5, 1]",5,"[1.0, 0.15819382667541504, -0.006896931678056717, -0.0386357419192791, -0.054267555475234985]"
5,7,client_7,"[7, 3, 4, 9, 1]","[7, 3, 4, 9, 1]",5,"[1.0, 0.4918743371963501, 0.34119147062301636, 0.0938829779624939, 0.0731196254491806]"
5,8,client_8,"[8, 3, 4, 6, 1]","[8, 3, 4, 6, 1]",5,"[1.0, 0.49931812286376953, 0.23268085718154907, 0.1150856763124466, -0.007453843951225281]"
5,9,client_9,"[9, 3, 4, 6, 1]","[9, 3, 4, 6, 1]",5,"[1.0, 0.575476348400116, 0.315175861120224, 0.18799012899398804, 0.009194707497954369]"
6,1,client_1,"[1, 3, 4, 6, 8]","[1, 3, 4, 6, 8]",5,"[1.0, 0.6470059156417847, 0.3188111484050751, 0.16916249692440033, 0.12049362808465958]"
6,2,client_2,"[2, 3, 4, 6, 8]","[2, 3, 4, 6, 8]",5,"[1.0, 0.585841178894043, 0.2524757981300354, 0.23655670881271362, 0.07861432433128357]"
6,3,client_3,"[3, 5, 8, 4, 9]","[3, 5, 8, 4, 9]",5,"[1.0, -0.21403512358665466, -0.2232535034418106, -0.2342742532491684, -0.26151686906814575]"
6,4,client_4,"[4, 3, 6, 2, 9]","[4, 3, 6, 2, 9]",5,"[1.0, 0.3053031265735626, -0.07007750868797302, -0.07846395671367645, -0.09388036280870438]"
6,5,client_5,"[5, 3, 6, 8, 4]","[5, 3, 6, 8, 4]",5,"[1.0, 0.22191917896270752, 0.09573356807231903, 0.0049581388011574745, 0.0038594468496739864]"
6,6,client_6,"[6, 3, 4, 2, 8]","[6, 3, 4, 2, 8]",5,"[1.0, 0.3350941240787506, 0.003106961026787758, -0.06186915189027786, -0.06225094199180603]"
6,7,client_7,"[7, 3, 4, 9, 1]","[7, 3, 4, 9, 1]",5,"[1.0, 0.804695188999176, 0.452667772769928, 0.11242768168449402, 0.07314871996641159]"
6,8,client_8,"[8, 3, 4, 6, 5]","[8, 3, 4, 6, 5]",5,"[1.0, 0.7835817933082581, 0.31114619970321655, 0.1925264298915863, -0.007500133011490107]"
6,9,client_9,"[9, 3, 4, 6, 1]","[9, 3, 4, 6, 1]",5,"[1.0, 0.87203449010849, 0.4047502875328064, 0.27331167459487915, 0.004551848396658897]"
7,1,client_1,"[1, 3, 4, 6, 8]","[1, 3, 4, 6, 8]",5,"[1.0, 0.9364078044891357, 0.3989531397819519, 0.24618768692016602, 0.13091878592967987]"
7,2,client_2,"[2, 3, 4, 6, 8]","[2, 3, 4, 6, 8]",5,"[1.0, 0.8677036762237549, 0.33355218172073364, 0.3204962909221649, 0.07879352569580078]"
7,3,client_3,"[3, 7, 6, 1, 2]","[3, 7, 6, 1, 2]",5,"[1.0, -0.2708822786808014, -0.2962937355041504, -0.3671041429042816, -0.3675398826599121]"
7,4,client_4,"[4, 3, 6, 7, 8]","[4, 3, 6, 7, 8]",5,"[1.0, 0.5023447871208191, -0.07506586611270905, -0.09508243948221207, -0.09860218316316605]"
7,5,client_5,"[5, 3, 6, 4, 7]","[5, 3, 6, 4, 7]",5,"[1.0, 0.4864664077758789, 0.16615325212478638, 0.06120171397924423, 0.002190452767536044]"
7,6,client_6,"[6, 3, 4, 7, 5]","[6, 3, 4, 7, 5]",5,"[1.0, 0.5408971309661865, 0.007858172059059143, -0.07002528011798859, -0.07104708254337311]"
7,7,client_7,"[7, 3, 4, 9, 1]","[7, 3, 4, 9, 1]",5,"[1.0, 1.1700267791748047, 0.5710238814353943, 0.1349429339170456, 0.07223677635192871]"
7,8,client_8,"[8, 3, 4, 6, 5]","[8, 3, 4, 6, 5]",5,"[1.0, 1.0912768840789795, 0.3961278796195984, 0.28528857231140137, 0.013463249430060387]"
7,9,client_9,"[9, 3, 4, 6, 1]","[9, 3, 4, 6, 1]",5,"[1.0, 1.196242332458496, 0.49730396270751953, 0.3718530833721161, -0.002787296660244465]"
8,1,client_1,"[1, 3, 4, 6, 8]","[1, 3, 4, 6, 8]",5,"[1.0, 1.2547695636749268, 0.4877868592739105, 0.3371414840221405, 0.14165160059928894]"
8,2,client_2,"[2, 3, 4, 6, 8]","[2, 3, 4, 6, 8]",5,"[1.0, 1.180633306503296, 0.42330145835876465, 0.4137730002403259, 0.07875878363847733]"
8,3,client_3,"[3, 4, 5, 8, 6]","[3, 4, 5, 8, 6]",5,"[1.0, -0.4572595953941345, -0.5001368522644043, -0.522715151309967, -0.5583314299583435]"
8,4,client_4,"[4, 3, 6, 5, 1]","[4, 3, 6, 5, 1]",5,"[1.0, 0.7309134006500244, -0.06915062665939331, -0.10094159841537476, -0.12469636648893356]"
8,5,client_5,"[5, 3, 6, 4, 9]","[5, 3, 6, 4, 9]",5,"[1.0, 0.8072411417961121, 0.25280943512916565, 0.13517922163009644, 0.0004007920506410301]"
8,6,client_6,"[6, 3, 4, 9, 1]","[6, 3, 4, 9, 1]",5,"[1.0, 0.7672988772392273, 0.012067146599292755, -0.07396044582128525, -0.1237008348107338]"
8,7,client_7,"[7, 3, 4, 9, 1]","[7, 3, 4, 9, 1]",5,"[1.0, 1.591315746307373, 0.6944965720176697, 0.1629413217306137, 0.07260693609714508]"
8,8,client_8,"[8, 3, 4, 6, 5]","[8, 3, 4, 6, 5]",5,"[1.0, 1.4350948333740234, 0.486367791891098, 0.3917485475540161, 0.029954561963677406]"
8,9,client_9,"[9, 3, 4, 6, 5]","[9, 3, 4, 6, 5]",5,"[1.0, 1.5559229850769043, 0.5926977396011353, 0.48238760232925415, -0.003527015447616577]"
9,1,client_1,"[1, 3, 4, 6, 8]","[1, 3, 4, 6, 8]",5,"[1.0, 1.6065776348114014, 0.5813302993774414, 0.4379468560218811, 0.15227164328098297]"
9,2,client_2,"[2, 3, 4, 6, 8]","[2, 3, 4, 6, 8]",5,"[1.0, 1.5330641269683838, 0.5189294219017029, 0.5143420100212097, 0.07906533777713776]"
9,3,client_3,"[3, 9, 7, 4, 2]","[3, 9, 7, 4, 2]",5,"[1.0, -0.5655789375305176, -0.6247537136077881, -0.6963305473327637, -0.7134374380111694]"
9,4,client_4,"[4, 3, 6, 2, 9]","[4, 3, 6, 2, 9]",5,"[1.0, 0.984909176826477, -0.06149742007255554, -0.1548633873462677, -0.17141520977020264]"
9,5,client_5,"[5, 3, 6, 4, 9]","[5, 3, 6, 4, 9]",5,"[1.0, 1.1811083555221558, 0.3495204448699951, 0.22081482410430908, 0.005801631137728691]"
9,6,client_6,"[6, 3, 4, 5, 8]","[6, 3, 4, 5, 8]",5,"[1.0, 1.0408951044082642, 0.014838680624961853, -0.140041321516037, -0.1427459418773651]"
9,7,client_7,"[7, 3, 4, 9, 1]","[7, 3, 4, 9, 1]",5,"[1.0, 2.0786690711975098, 0.8212546110153198, 0.19532933831214905, 0.07583039999008179]"
9,8,client_8,"[8, 3, 4, 6, 5]","[8, 3, 4, 6, 5]",5,"[1.0, 1.8219265937805176, 0.5815966725349426, 0.5104423761367798, 0.04251498728990555]"
9,9,client_9,"[9, 3, 4, 6, 5]","[9, 3, 4, 6, 5]",5,"[1.0, 1.9481923580169678, 0.6910271048545837, 0.6009584665298462, 0.0032469788566231728]"
10,1,client_1,"[1, 3, 4, 6, 8]","[1, 3, 4, 6, 8]",5,"[1.0, 1.9974201917648315, 0.67906653881073, 0.5463560819625854, 0.16228517889976501]"
10,2,client_2,"[2, 3, 4, 6, 8]","[2, 3, 4, 6, 8]",5,"[1.0, 1.9318645000457764, 0.621662437915802, 0.6211272478103638, 0.08035752922296524]"
10,3,client_3,"[3, 1, 6, 5, 8]","[3, 1, 6, 5, 8]",5,"[1.0, -0.7265814542770386, -0.7918577790260315, -0.8165818452835083, -0.8444381952285767]"
10,4,client_4,"[4, 3, 6, 7, 5]","[4, 3, 6, 7, 5]",5,"[1.0, 1.2815866470336914, -0.05316152423620224, -0.1797075718641281, -0.18330822885036469]"
10,5,client_5,"[5, 3, 6, 4, 9]","[5, 3, 6, 4, 9]",5,"[1.0, 1.6199064254760742, 0.455392986536026, 0.31894493103027344, 0.01482152659446001]"
10,6,client_6,"[6, 3, 4, 2, 7]","[6, 3, 4, 2, 7]",5,"[1.0, 1.3617991209030151, 0.019031578674912453, -0.14308083057403564, -0.15099704265594482]"
10,7,client_7,"[7, 3, 4, 9, 1]","[7, 3, 4, 9, 1]",5,"[1.0, 2.6396055221557617, 0.9509047269821167, 0.2257605344057083, 0.0798720121383667]"
10,8,client_8,"[8, 3, 4, 6, 5]","[8, 3, 4, 6, 5]",5,"[1.0, 2.26375412940979, 0.6827227473258972, 0.6362245678901672, 0.05003652721643448]"
10,9,client_9,"[9, 3, 4, 6, 5]","[9, 3, 4, 6, 5]",5,"[1.0, 2.4010567665100098, 0.7958425879478455, 0.7260004281997681, 0.0047951047308743]"
11,1,client_1,"[1, 3, 4, 6, 8]","[1, 3, 4, 6, 8]",5,"[1.0, 2.438966989517212, 0.7801705002784729, 0.6568571329116821, 0.1706995815038681]"
11,2,client_2,"[2, 3, 4, 6, 8]","[2, 3, 4, 6, 8]",5,"[1.0, 2.388606548309326, 0.7293766140937805, 0.7287092804908752, 0.08121999353170395]"
11,3,client_3,"[3, 9, 4, 7, 2]","[3, 9, 4, 7, 2]",5,"[1.0, -0.9688429832458496, -1.0089808702468872, -1.0410082340240479, -1.116217851638794]"
11,4,client_4,"[4, 3, 6, 8, 1]","[4, 3, 6, 8, 1]",5,"[1.0, 1.6324175596237183, -0.037773359566926956, -0.18359899520874023, -0.2200375199317932]"
11,5,client_5,"[5, 3, 6, 4, 9]","[5, 3, 6, 4, 9]",5,"[1.0, 2.1337618827819824, 0.5668618679046631, 0.4262050986289978, 0.02381036803126335]"
11,6,client_6,"[6, 3, 4, 9, 1]","[6, 3, 4, 9, 1]",5,"[1.0, 1.7511379718780518, 0.023366883397102356, -0.15270400047302246, -0.22573569416999817]"
11,7,client_7,"[7, 3, 4, 9, 1]","[7, 3, 4, 9, 1]",5,"[1.0, 3.278964042663574, 1.0790345668792725, 0.2501092553138733, 0.08392758667469025]"
11,8,client_8,"[8, 3, 4, 6, 5]","[8, 3, 4, 6, 5]",5,"[1.0, 2.766035318374634, 0.7865630984306335, 0.7658143043518066, 0.053208351135253906]"
11,9,client_9,"[9, 3, 4, 6, 5]","[9, 3, 4, 6, 5]",5,"[1.0, 2.9218950271606445, 0.9049403071403503, 0.8548406362533569, 0.003873842302709818]"
12,1,client_1,"[1, 3, 4, 6, 8]","[1, 3, 4, 6, 8]",5,"[1.0, 2.938908100128174, 0.8816775679588318, 0.7690325379371643, 0.1774747520685196]"
12,2,client_2,"[2, 3, 4, 6, 8]","[2, 3, 4, 6, 8]",5,"[1.0, 2.9098901748657227, 0.8397366404533386, 0.8363521695137024, 0.0823696032166481]"
12,3,client_3,"[3, 6, 1, 5, 8]","[3, 6, 1, 5, 8]",5,"[1.0, -1.1336936950683594, -1.1855988502502441, -1.2616472244262695, -1.2864282131195068]"
12,4,client_4,"[4, 3, 6, 2, 9]","[4, 3, 6, 2, 9]",5,"[1.0, 2.050753593444824, -0.025346146896481514, -0.24615222215652466, -0.2582547068595886]"
12,5,client_5,"[5, 3, 6, 4, 9]","[5, 3, 6, 4, 9]",5,"[1.0, 2.727100133895874, 0.6737901568412781, 0.5386757254600525, 0.0313691720366478]"
12,6,client_6,"[6, 3, 4, 5, 9]","[6, 3, 4, 5, 9]",5,"[1.0, 2.2218947410583496, 0.04030519351363182, -0.2353537380695343, -0.24028895795345306]"
12,7,client_7,"[7, 3, 4, 9, 1]","[7, 3, 4, 9, 1]",5,"[1.0, 3.9907236099243164, 1.2046860456466675, 0.26704323291778564, 0.08698893338441849]"
12,8,client_8,"[8, 3, 4, 6, 5]","[8, 3, 4, 6, 5]",5,"[1.0, 3.3407933712005615, 0.8929848074913025, 0.8872696757316589, 0.053739722818136215]"
12,9,client_9,"[9, 3, 4, 6, 5]","[9, 3, 4, 6, 5]",5,"[1.0, 3.5167040824890137, 1.0172252655029297, 0.9735609889030457, 0.002160334959626198]"
